count,year,month,day,date,dayow
73764,2013,9,11,2013-09-11T00:00:00Z,3
79995,2013,9,12,2013-09-12T00:00:00Z,4
91846,2013,9,13,2013-09-13T00:00:00Z,5
96623,2013,9,14,2013-09-14T00:00:00Z,6
83720,2013,9,15,2013-09-15T00:00:00Z,0
65849,2013,9,16,2013-09-16T00:00:00Z,1
68065,2013,9,17,2013-09-17T00:00:00Z,2
79556,2013,9,18,2013-09-18T00:00:00Z,3
82706,2013,9,19,2013-09-19T00:00:00Z,4
96427,2013,9,20,2013-09-20T00:00:00Z,5
97990,2013,9,21,2013-09-21T00:00:00Z,6
78437,2013,9,22,2013-09-22T00:00:00Z,0
66538,2013,9,23,2013-09-23T00:00:00Z,1
70312,2013,9,24,2013-09-24T00:00:00Z,2
76293,2013,9,25,2013-09-25T00:00:00Z,3
81605,2013,9,26,2013-09-26T00:00:00Z,4
90593,2013,9,27,2013-09-27T00:00:00Z,5
91208,2013,9,28,2013-09-28T00:00:00Z,6
79017,2013,9,29,2013-09-29T00:00:00Z,0
67346,2013,9,30,2013-09-30T00:00:00Z,1
71447,2013,10,1,2013-10-01T00:00:00Z,2
75174,2013,10,2,2013-10-02T00:00:00Z,3
83212,2013,10,3,2013-10-03T00:00:00Z,4
90809,2013,10,4,2013-10-04T00:00:00Z,5
95665,2013,10,5,2013-10-05T00:00:00Z,6
81684,2013,10,6,2013-10-06T00:00:00Z,0
68387,2013,10,7,2013-10-07T00:00:00Z,1
71465,2013,10,8,2013-10-08T00:00:00Z,2
75416,2013,10,9,2013-10-09T00:00:00Z,3
83655,2013,10,10,2013-10-10T00:00:00Z,4
95048,2013,10,11,2013-10-11T00:00:00Z,5
94097,2013,10,12,2013-10-12T00:00:00Z,6
81992,2013,10,13,2013-10-13T00:00:00Z,0
64052,2013,10,14,2013-10-14T00:00:00Z,1
70720,2013,10,15,2013-10-15T00:00:00Z,2
72871,2013,10,16,2013-10-16T00:00:00Z,3
86960,2013,10,17,2013-10-17T00:00:00Z,4
100353,2013,10,18,2013-10-18T00:00:00Z,5
98171,2013,10,19,2013-10-19T00:00:00Z,6
76429,2013,10,20,2013-10-20T00:00:00Z,0
69840,2013,10,21,2013-10-21T00:00:00Z,1
74406,2013,10,22,2013-10-22T00:00:00Z,2
80451,2013,10,23,2013-10-23T00:00:00Z,3
87419,2013,10,24,2013-10-24T00:00:00Z,4
97938,2013,10,25,2013-10-25T00:00:00Z,5
98240,2013,10,26,2013-10-26T00:00:00Z,6
81976,2013,10,27,2013-10-27T00:00:00Z,0
64323,2013,10,28,2013-10-28T00:00:00Z,1
68601,2013,10,29,2013-10-29T00:00:00Z,2
73488,2013,10,30,2013-10-30T00:00:00Z,3
81288,2013,10,31,2013-10-31T00:00:00Z,4
103824,2013,11,1,2013-11-01T00:00:00Z,5
95845,2013,11,2,2013-11-02T00:00:00Z,6
77355,2013,11,3,2013-11-03T00:00:00Z,0
66446,2013,11,4,2013-11-04T00:00:00Z,1
75787,2013,11,5,2013-11-05T00:00:00Z,2
85680,2013,11,6,2013-11-06T00:00:00Z,3
87010,2013,11,7,2013-11-07T00:00:00Z,4
96912,2013,11,8,2013-11-08T00:00:00Z,5
97345,2013,11,9,2013-11-09T00:00:00Z,6
82052,2013,11,10,2013-11-10T00:00:00Z,0
68748,2013,11,11,2013-11-11T00:00:00Z,1
74601,2013,11,12,2013-11-12T00:00:00Z,2
81144,2013,11,13,2013-11-13T00:00:00Z,3
84184,2013,11,14,2013-11-14T00:00:00Z,4
99277,2013,11,15,2013-11-15T00:00:00Z,5
104227,2013,11,16,2013-11-16T00:00:00Z,6
82409,2013,11,17,2013-11-17T00:00:00Z,0
75185,2013,11,18,2013-11-18T00:00:00Z,1
75576,2013,11,19,2013-11-19T00:00:00Z,2
82502,2013,11,20,2013-11-20T00:00:00Z,3
84733,2013,11,21,2013-11-21T00:00:00Z,4
98486,2013,11,22,2013-11-22T00:00:00Z,5
96695,2013,11,23,2013-11-23T00:00:00Z,6
70793,2013,11,24,2013-11-24T00:00:00Z,0
